
set I:= 2	3	4 5 6	7 	8	9	10	11 12 13	14	15 16	17	18	19	20 21 22 
23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51
52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76
77
78
79
80

;

set Nodos:= 1 2	3	4 5 6	7 	8	9	10	11 12 13	14	15 16	17	18	19	20 21 22
23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51
52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76
77
78
79
80

;

set K:= 1 2 3;
set R:= A B C;
set T:= A B C;


param: xcoord	ycoord :=
1	92	92
2	88	58
3	70	6
4	57	59
5	0	98
6	61	38
7	65	22
8	91	52
9	59	2
10	3	54
11	95	38
12	80	28
13	66	42
14	79	74
15	99	25
16	20	43
17	40	3
18	50	42
19	97	0
20	21	19
21	36	21
22	100	61
23	11	85
24	69	35
25	69	22
26	29	35
27	14	9
28	50	33
29	89	17
30	57	44
31	60	25
32	48	42
33	17	93
34	21	50
35	77	18
36	2	4
37	63	83
38	68	6
39	41	95
40	48	54
41	98	73
42	26	38
43	69	76
44	40	1
45	65	41
46	14	86
47	32	39
48	14	24
49	96	5
50	82	98
51	23	85
52	63	69
53	87	19
54	56	75
55	15	63
56	10	45
57	7	30
58	31	11
59	36	93
60	50	31
61	49	52
62	39	10
63	76	40
64	83	34
65	33	51
66	0	15
67	52	82
68	52	82
69	46	6
70	3	26
71	46	80
72	94	30
73	26	76
74	75	92
75	57	51
76	34	21
77	28	80
78	59	66
79	51	16
80	87	11


;

param Q:=
1   20000
2   20000
3   20000
;

param P:=
A   16000
B   10000
C   16000
;


param alfa:=
A   1
B    .70
C    .30
;

param q:  A   B   C:=
1	0	0	0
2	1200	0	0
3	0	1100	0
4	0	0	1150
5	250	0	0
6	0	550	0
7	0	0	1150
8	1300	0	0
9	0	450	0
10	0	0	1150
11	450	0	0
12	0	700	0
13	0	0	800
14	600	0	0
15	0	100	0
16	0	0	100
17	300	0	0
18	0	1000	0
19	0	0	1300
20	600	0	0
21	0	750	0
22	0	0	650
23	1300	0	0
24	0	850	0
25	0	0	350
26	600	0	0
27	0	200	0
28	0	0	200
29	1000	0	0
30	0	500	0
31	0	0	450
32	100	0	0
33	0	450	0
34	0	0	50
35	100	0	0
36	0	100	0
37	0	0	600
38	700	0	0
39	0	1150	0
40	0	0	1050
41	650	0	0
42	0	650	0
43	0	0	1150
44	150	0	0
45	0	300	0
46	0	0	1150
47	550	0	0
48	0	100	0
49	0	0	350
50	650	0	0
51	0	500	0
52	0	0	150
53	300	0	0
54	0	650	0
55	0	0	100
56	700	0	0
57	0	350	0
58	0	0	1050
59	350	0	0
60	0	1100	0
61	0	0	650
62	1100	0	0
63	0	900	0
64	0	0	1100
65	300	0	0
66	0	100	0
67	0	0	550
68	250	0	0
69	0	450	0
70	0	0	450
71	250	0	0
72	0	600	0
73	0	0	100
74	600	0	0
75	0	950	0
76	0	0	300
77	700	0	0
78	0	100	0
79	0	0	100
80	1200	0	0


;

param a:  A   B   C:=
1	0	0	0
2	1	0	0
3	0	1	0
4	0	0	1
5	1	0	0
6	0	1	0
7	0	0	1
8	1	0	0
9	0	1	0
10	0	0	1
11	1	0	0
12	0	1	0
13	0	0	1
14	1	0	0
15	0	1	0
16	0	0	1
17	1	0	0
18	0	1	0
19	0	0	1
20	1	0	0
21	0	1	0
22	0	0	1
23	1	0	0
24	0	1	0
25	0	0	1
26	1	0	0
27	0	1	0
28	0	0	1
29	1	0	0
30	0	1	0
31	0	0	1
32	1	0	0
33	0	1	0
34	0	0	1
35	1	0	0
36	0	1	0
37	0	0	1
38	1	0	0
39	0	1	0
40	0	0	1
41	1	0	0
42	0	1	0
43	0	0	1
44	1	0	0
45	0	1	0
46	0	0	1
47	1	0	0
48	0	1	0
49	0	0	1
50	1	0	0
51	0	1	0
52	0	0	1
53	1	0	0
54	0	1	0
55	0	0	1
56	1	0	0
57	0	1	0
58	0	0	1
59	1	0	0
60	0	1	0
61	0	0	1
62	1	0	0
63	0	1	0
64	0	0	1
65	1	0	0
66	0	1	0
67	0	0	1
68	1	0	0
69	0	1	0
70	0	0	1
71	1	0	0
72	0	1	0
73	0	0	1
74	1	0	0
75	0	1	0
76	0	0	1
77	1	0	0
78	0	1	0
79	0	0	1
80	1	0	0


;

param qu :=
1	0
2	1200
3	1100
4	1150
5	250
6	550
7	1150
8	1300
9	450
10	1150
11	450
12	700
13	800
14	600
15	100
16	100
17	300
18	1000
19	1300
20	600
21	750
22	650
23	1300
24	850
25	350
26	600
27	200
28	200
29	1000
30	500
31	450
32	100
33	450
34	50
35	100
36	100
37	600
38	700
39	1150
40	1050
41	650
42	650
43	1150
44	150
45	300
46	1150
47	550
48	100
49	350
50	650
51	500
52	150
53	300
54	650
55	100
56	700
57	350
58	1050
59	350
60	1100
61	650
62	1100
63	900
64	1100
65	300
66	100
67	550
68	250
69	450
70	450
71	250
72	600
73	100
74	600
75	950
76	300
77	700
78	100
79	100
80	1200


;

set IT:=
(	2	,	A	)
(	3	,	B	)
(	4	,	C	)
(	5	,	A	)
(	6	,	B	)
(	7	,	C	)
(	8	,	A	)
(	9	,	B	)
(	10	,	C	)
(	11	,	A	)
(	12	,	B	)
(	13	,	C	)
(	14	,	A	)
(	15	,	B	)
(	16	,	C	)
(	17	,	A	)
(	18	,	B	)
(	19	,	C	)
(	20	,	A	)
(	21	,	B	)
(	22	,	C	)
(	23	,	A	)
(	24	,	B	)
(	25	,	C	)
(	26	,	A	)
(	27	,	B	)
(	28	,	C	)
(	29	,	A	)
(	30	,	B	)
(	31	,	C	)
(	32	,	A	)
(	33	,	B	)
(	34	,	C	)
(	35	,	A	)
(	36	,	B	)
(	37	,	C	)
(	38	,	A	)
(	39	,	B	)
(	40	,	C	)
(	41	,	A	)
(	42	,	B	)
(	43	,	C	)
(	44	,	A	)
(	45	,	B	)
(	46	,	C	)
(	47	,	A	)
(	48	,	B	)
(	49	,	C	)
(	50	,	A	)
(	51	,	B	)
(	52	,	C	)
(	53	,	A	)
(	54	,	B	)
(	55	,	C	)
(	56	,	A	)
(	57	,	B	)
(	58	,	C	)
(	59	,	A	)
(	60	,	B	)
(	61	,	C	)
(	62	,	A	)
(	63	,	B	)
(	64	,	C	)
(	65	,	A	)
(	66	,	B	)
(	67	,	C	)
